day_of_year,day_of_week,is_holiday,avg_temp,precip,cloud,humidity,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
117,2,0,12.1,0.5,0.68,0.66,0.45,0.414,0.462,0.457,0.457,0.461,0.658,0.668,0.712,0.644,0.563,0.524,0.55,0.588,0.578,0.547,0.529,0.712,0.708,0.742,0.726,0.516,0.513,0.509
118,3,0,12.6,0.1,0.11,0.68,0.355,0.3,0.341,0.33,0.348,0.34,0.512,0.508,0.48,0.527,0.448,0.439,0.448,0.436,0.438,0.43,0.434,0.538,0.578,0.572,0.574,0.397,0.423,0.379
119,4,0,13.3,1.2,0.67,0.84,0.421,0.431,0.405,0.409,0.391,0.435,0.631,0.627,0.657,0.657,0.536,0.519,0.549,0.537,0.547,0.494,0.533,0.656,0.671,0.685,0.702,0.477,0.466,0.513
120,5,0,17.2,1.1,0.12,0.77,0.461,0.441,0.454,0.45,0.478,0.458,0.656,0.696,0.701,0.722,0.551,0.584,0.575,0.59,0.562,0.534,0.559,0.749,0.732,0.751,0.758,0.539,0.528,0.496
121,6,1,17.1,0.4,0.25,0.71,0.427,0.46,0.443,0.439,0.407,0.443,0.643,0.643,0.652,0.627,0.554,0.522,0.558,0.526,0.522,0.532,0.54,0.685,0.72,0.7,0.7,0.476,0.501,0.494
122,7,1,13.8,1.2,0.56,0.72,0.254,0.245,0.279,0.22,0.247,0.222,0.352,0.365,0.356,0.372,0.309,0.305,0.32,0.312,0.29,0.281,0.277,0.419,0.377,0.365,0.419,0.286,0.29,0.243
123,1,0,11.2,0.5,0.34,0.83,0.385,0.441,0.438,0.409,0.396,0.401,0.588,0.637,0.611,0.633,0.482,0.504,0.488,0.514,0.504,0.514,0.512,0.686,0.656,0.645,0.668,0.443,0.482,0.446
124,2,0,17.9,0.7,0.66,0.58,0.351,0.306,0.329,0.303,0.289,0.347,0.481,0.479,0.499,0.482,0.421,0.378,0.368,0.436,0.401,0.405,0.388,0.476,0.532,0.504,0.519,0.341,0.34,0.315
125,3,0,17.4,1.0,0.04,0.85,0.332,0.337,0.323,0.359,0.361,0.323,0.524,0.49,0.461,0.494,0.38,0.373,0.407,0.393,0.384,0.384,0.377,0.55,0.506,0.512,0.482,0.388,0.361,0.336
126,4,0,15.8,1.4,0.31,0.62,0.38,0.377,0.387,0.368,0.359,0.347,0.609,0.516,0.559,0.56,0.464,0.435,0.424,0.451,0.465,0.45,0.47,0.615,0.577,0.631,0.593,0.425,0.375,0.427
127,5,0,14.2,0.6,0.76,0.85,0.435,0.428,0.417,0.438,0.425,0.42,0.646,0.624,0.656,0.656,0.57,0.557,0.55,0.529,0.554,0.546,0.532,0.703,0.686,0.679,0.709,0.455,0.479,0.519
128,6,1,16.9,1.3,0.61,0.84,0.398,0.414,0.388,0.401,0.398,0.364,0.606,0.561,0.614,0.574,0.52,0.48,0.475,0.502,0.477,0.524,0.476,0.635,0.62,0.657,0.627,0.426,0.464,0.476
129,7,1,15.6,1.5,0.45,0.66,0.3,0.309,0.33,0.322,0.33,0.346,0.512,0.484,0.479,0.467,0.413,0.408,0.4,0.414,0.392,0.413,0.41,0.502,0.527,0.541,0.499,0.411,0.382,0.373
130,1,0,15.0,1.0,0.35,0.7,0.29,0.275,0.285,0.263,0.262,0.244,0.4,0.39,0.378,0.423,0.31,0.354,0.303,0.312,0.347,0.32,0.335,0.418,0.419,0.419,0.423,0.304,0.284,0.255
131,2,0,16.8,0.5,0.61,0.74,0.434,0.43,0.409,0.386,0.395,0.379,0.572,0.562,0.571,0.568,0.525,0.483,0.462,0.499,0.495,0.516,0.477,0.614,0.642,0.638,0.624,0.498,0.449,0.425
132,3,0,16.6,0.4,0.26,0.86,0.265,0.252,0.256,0.283,0.21,0.27,0.367,0.403,0.428,0.41,0.316,0.304,0.315,0.336,0.372,0.324,0.353,0.431,0.434,0.411,0.421,0.251,0.319,0.319
133,4,0,14.6,0.4,0.2,0.51,0.415,0.377,0.392,0.381,0.382,0.375,0.584,0.616,0.593,0.603,0.501,0.508,0.501,0.53,0.483,0.51,0.514,0.675,0.657,0.634,0.638,0.406,0.465,0.485
134,5,0,15.4,1.0,0.3,0.87,0.256,0.308,0.283,0.271,0.267,0.273,0.403,0.441,0.417,0.448,0.35,0.345,0.328,0.365,0.368,0.364,0.32,0.45,0.433,0.429,0.464,0.342,0.289,0.316
135,6,1,14.5,0.7,0.55,0.87,0.383,0.366,0.358,0.343,0.361,0.337,0.567,0.533,0.538,0.576,0.452,0.443,0.46,0.428,0.429,0.452,0.463,0.622,0.644,0.593,0.609,0.4,0.418,0.398
136,7,1,17.4,0.1,0.68,0.8,0.448,0.422,0.415,0.441,0.437,0.42,0.651,0.666,0.602,0.653,0.511,0.555,0.538,0.545,0.557,0.53,0.518,0.678,0.675,0.706,0.695,0.506,0.494,0.516
137,1,0,18.6,1.1,0.15,0.64,0.427,0.425,0.41,0.428,0.409,0.404,0.582,0.58,0.582,0.62,0.518,0.475,0.479,0.517,0.503,0.509,0.484,0.642,0.626,0.64,0.608,0.458,0.461,0.458
138,2,0,15.1,0.1,0.0,0.63,0.346,0.368,0.348,0.363,0.38,0.383,0.569,0.566,0.551,0.574,0.467,0.476,0.453,0.453,0.472,0.462,0.45,0.596,0.598,0.615,0.646,0.436,0.417,0.409
139,3,0,16.7,0.5,0.46,0.61,0.261,0.269,0.255,0.263,0.243,0.266,0.45,0.391,0.422,0.424,0.374,0.369,0.34,0.336,0.326,0.317,0.333,0.467,0.433,0.461,0.458,0.32,0.351,0.305
140,4,0,17.4,1.2,0.24,0.84,0.311,0.326,0.317,0.301,0.307,0.329,0.491,0.496,0.465,0.456,0.397,0.412,0.405,0.421,0.414,0.4,0.342,0.505,0.518,0.529,0.549,0.347,0.353,0.371
141,5,0,17.4,1.3,0.9,0.77,0.456,0.449,0.413,0.442,0.443,0.503,0.698,0.652,0.669,0.687,0.592,0.57,0.582,0.515,0.581,0.591,0.598,0.744,0.757,0.74,0.736,0.523,0.529,0.515
142,6,1,21.1,0.1,0.61,0.72,0.292,0.3,0.272,0.268,0.217,0.269,0.363,0.388,0.385,0.381,0.29,0.325,0.309,0.333,0.338,0.321,0.311,0.427,0.391,0.456,0.449,0.335,0.294,0.283
143,7,1,18.9,2.1,0.87,0.8,0.392,0.361,0.371,0.401,0.383,0.423,0.535,0.56,0.584,0.559,0.45,0.468,0.499,0.436,0.463,0.475,0.482,0.629,0.608,0.625,0.618,0.417,0.439,0.408
144,1,0,16.2,1.2,0.6,0.67,0.288,0.258,0.264,0.236,0.264,0.238,0.413,0.434,0.387,0.361,0.307,0.364,0.355,0.327,0.334,0.3,0.332,0.435,0.45,0.435,0.432,0.302,0.316,0.281
145,2,0,21.5,0.5,0.82,0.56,0.391,0.425,0.406,0.415,0.409,0.408,0.606,0.588,0.616,0.59,0.503,0.495,0.47,0.492,0.496,0.505,0.531,0.663,0.644,0.65,0.66,0.431,0.438,0.44
146,3,0,20.2,0.8,0.57,0.69,0.428,0.424,0.455,0.42,0.448,0.406,0.63,0.674,0.656,0.699,0.569,0.566,0.508,0.551,0.524,0.58,0.58,0.716,0.714,0.687,0.722,0.509,0.505,0.49
147,4,0,16.8,2.3,0.79,0.68,0.215,0.236,0.244,0.229,0.25,0.256,0.367,0.374,0.338,0.38,0.313,0.301,0.335,0.317,0.336,0.302,0.334,0.396,0.44,0.421,0.421,0.24,0.244,0.317
148,5,0,20.9,0.3,0.34,0.65,0.479,0.441,0.468,0.45,0.453,0.483,0.709,0.697,0.716,0.721,0.599,0.565,0.579,0.596,0.628,0.583,0.59,0.744,0.766,0.784,0.736,0.529,0.544,0.492
149,6,1,17.4,0.7,0.91,0.65,0.287,0.275,0.284,0.3,0.259,0.312,0.406,0.4,0.42,0.377,0.33,0.317,0.332,0.336,0.324,0.356,0.347,0.465,0.455,0.449,0.427,0.34,0.324,0.304
150,7,1,15.2,3.7,0.42,0.71,0.276,0.267,0.28,0.277,0.264,0.278,0.422,0.398,0.415,0.381,0.365,0.365,0.387,0.323,0.385,0.35,0.363,0.477,0.465,0.462,0.452,0.297,0.324,0.332
151,1,0,19.3,0.8,0.65,0.61,0.408,0.379,0.388,0.404,0.427,0.42,0.61,0.62,0.644,0.581,0.495,0.515,0.506,0.525,0.517,0.517,0.501,0.666,0.664,0.661,0.642,0.468,0.441,0.429
152,2,0,16.2,2.3,0.89,0.78,0.346,0.367,0.416,0.358,0.375,0.366,0.508,0.549,0.562,0.562,0.484,0.43,0.463,0.456,0.46,0.464,0.482,0.592,0.568,0.557,0.605,0.416,0.424,0.419
153,3,0,15.2,0.0,0.52,0.6,0.411,0.397,0.409,0.404,0.427,0.418,0.625,0.586,0.611,0.594,0.484,0.539,0.528,0.524,0.514,0.519,0.521,0.678,0.679,0.683,0.687,0.452,0.491,0.477
154,4,0,21.0,0.7,0.67,0.68,0.345,0.373,0.351,0.383,0.385,0.322,0.555,0.545,0.548,0.553,0.442,0.459,0.473,0.474,0.46,0.429,0.455,0.582,0.61,0.562,0.568,0.413,0.401,0.439
155,5,0,18.9,2.6,0.25,0.9,0.446,0.467,0.469,0.462,0.437,0.443,0.657,0.677,0.684,0.683,0.572,0.558,0.566,0.581,0.565,0.566,0.568,0.749,0.756,0.74,0.75,0.51,0.475,0.52
156,6,1,19.9,0.4,0.27,0.79,0.425,0.397,0.377,0.389,0.424,0.397,0.57,0.608,0.568,0.618,0.501,0.511,0.515,0.496,0.498,0.513,0.502,0.683,0.628,0.661,0.666,0.468,0.413,0.472
157,7,1,17.9,0.8,0.46,0.74,0.231,0.249,0.237,0.277,0.213,0.255,0.393,0.341,0.396,0.395,0.303,0.34,0.327,0.334,0.301,0.301,0.359,0.414,0.415,0.412,0.453,0.28,0.274,0.32
158,1,0,18.9,2.0,0.54,0.72,0.422,0.416,0.452,0.383,0.417,0.418,0.614,0.57,0.627,0.573,0.51,0.509,0.499,0.507,0.488,0.566,0.516,0.639,0.661,0.652,0.63,0.455,0.462,0.406
159,2,0,20.5,0.4,0.7,0.5,0.311,0.248,0.312,0.267,0.283,0.299,0.393,0.391,0.402,0.429,0.375,0.361,0.317,0.354,0.333,0.341,0.341,0.452,0.45,0.418,0.472,0.312,0.351,0.273
160,3,0,18.4,0.5,0.18,0.89,0.254,0.256,0.246,0.258,0.304,0.248,0.42,0.419,0.403,0.428,0.339,0.354,0.36,0.346,0.335,0.316,0.403,0.423,0.389,0.405,0.451,0.317,0.267,0.296
161,4,0,21.3,0.9,0.77,0.71,0.304,0.332,0.283,0.321,0.306,0.313,0.482,0.457,0.441,0.51,0.394,0.399,0.403,0.405,0.393,0.374,0.403,0.477,0.469,0.505,0.482,0.35,0.339,0.346
162,5,0,19.9,0.2,0.49,0.63,0.421,0.438,0.449,0.465,0.41,0.4,0.67,0.68,0.652,0.677,0.548,0.534,0.539,0.567,0.551,0.57,0.513,0.749,0.732,0.704,0.691,0.489,0.478,0.46
163,6,1,16.0,1.5,0.82,0.78,0.453,0.491,0.465,0.47,0.453,0.464,0.707,0.683,0.71,0.691,0.606,0.572,0.585,0.542,0.583,0.53,0.542,0.721,0.74,0.756,0.728,0.532,0.519,0.52
164,7,1,18.3,0.4,0.27,0.77,0.367,0.404,0.419,0.398,0.418,0.426,0.599,0.605,0.591,0.578,0.462,0.481,0.492,0.484,0.493,0.496,0.485,0.619,0.618,0.667,0.641,0.449,0.441,0.444
165,1,0,21.3,1.6,0.6,0.75,0.476,0.437,0.438,0.45,0.473,0.451,0.672,0.669,0.637,0.66,0.582,0.567,0.558,0.511,0.578,0.571,0.57,0.734,0.731,0.729,0.717,0.486,0.511,0.484
166,2,0,17.8,0.1,0.32,0.74,0.378,0.36,0.38,0.395,0.365,0.364,0.547,0.569,0.597,0.537,0.45,0.463,0.445,0.463,0.466,0.509,0.411,0.612,0.585,0.626,0.639,0.42,0.406,0.373
167,3,0,20.3,1.2,0.21,0.81,0.371,0.351,0.402,0.356,0.374,0.377,0.562,0.576,0.562,0.525,0.443,0.467,0.468,0.474,0.455,0.465,0.427,0.586,0.59,0.586,0.601,0.415,0.426,0.409
168,4,0,20.2,0.4,0.53,0.66,0.413,0.422,0.424,0.388,0.4,0.416,0.592,0.573,0.619,0.601,0.503,0.5,0.522,0.463,0.52,0.499,0.511,0.655,0.649,0.661,0.661,0.453,0.401,0.48
169,5,0,19.6,1.8,0.79,0.74,0.329,0.318,0.323,0.322,0.293,0.318,0.462,0.445,0.437,0.485,0.379,0.4,0.402,0.421,0.387,0.411,0.425,0.514,0.526,0.537,0.502,0.37,0.328,0.373
170,6,1,19.5,1.1,0.37,0.64,0.272,0.279,0.257,0.279,0.266,0.28,0.391,0.407,0.434,0.395,0.317,0.38,0.354,0.365,0.344,0.372,0.368,0.463,0.419,0.438,0.428,0.328,0.316,0.31
171,7,1,16.8,4.0,0.45,0.73,0.387,0.438,0.422,0.418,0.405,0.369,0.578,0.601,0.578,0.633,0.526,0.504,0.54,0.494,0.518,0.522,0.517,0.632,0.636,0.653,0.641,0.483,0.457,0.432
172,1,0,20.1,0.8,0.23,0.68,0.447,0.422,0.428,0.435,0.413,0.412,0.613,0.627,0.678,0.594,0.521,0.533,0.51,0.533,0.493,0.541,0.533,0.696,0.696,0.694,0.67,0.449,0.471,0.486
173,2,0,19.0,0.2,0.32,0.81,0.324,0.337,0.346,0.365,0.333,0.335,0.502,0.501,0.479,0.488,0.447,0.387,0.42,0.392,0.385,0.425,0.409,0.536,0.501,0.555,0.49,0.418,0.394,0.397
174,3,0,22.4,0.4,0.71,0.74,0.423,0.41,0.449,0.428,0.406,0.424,0.662,0.662,0.644,0.62,0.501,0.512,0.553,0.526,0.547,0.546,0.556,0.703,0.672,0.671,0.69,0.518,0.482,0.463
175,4,0,20.7,1.8,0.67,0.66,0.371,0.352,0.36,0.344,0.379,0.362,0.552,0.546,0.542,0.585,0.462,0.458,0.439,0.435,0.489,0.497,0.434,0.614,0.609,0.598,0.625,0.387,0.405,0.429
176,5,0,15.3,1.0,0.5,0.61,0.462,0.486,0.466,0.47,0.439,0.445,0.673,0.733,0.737,0.692,0.594,0.576,0.579,0.604,0.596,0.566,0.573,0.742,0.72,0.739,0.767,0.477,0.522,0.492
177,6,1,20.2,0.5,0.91,0.65,0.31,0.321,0.293,0.273,0.288,0.265,0.46,0.471,0.432,0.443,0.355,0.387,0.396,0.371,0.344,0.376,0.38,0.492,0.509,0.482,0.53,0.32,0.381,0.345
178,7,1,18.5,1.9,0.29,0.51,0.287,0.308,0.321,0.292,0.259,0.29,0.465,0.423,0.457,0.436,0.362,0.333,0.372,0.333,0.374,0.347,0.326,0.453,0.522,0.485,0.481,0.313,0.307,0.315
179,1,0,19.3,0.8,0.45,0.63,0.303,0.293,0.287,0.263,0.256,0.246,0.379,0.431,0.425,0.44,0.367,0.339,0.326,0.319,0.337,0.312,0.343,0.449,0.437,0.455,0.46,0.277,0.339,0.316
180,2,0,25.2,0.6,0.14,0.66,0.397,0.396,0.414,0.37,0.422,0.387,0.558,0.591,0.582,0.547,0.471,0.475,0.446,0.469,0.458,0.478,0.501,0.591,0.613,0.634,0.623,0.399,0.461,0.415
181,3,0,20.9,1.2,0.77,0.6,0.409,0.451,0.389,0.4,0.386,0.421,0.63,0.611,0.584,0.64,0.494,0.476,0.521,0.518,0.476,0.474,0.513,0.677,0.665,0.659,0.633,0.458,0.471,0.457
182,4,0,20.2,0.7,0.85,0.58,0.451,0.437,0.434,0.43,0.47,0.46,0.671,0.648,0.658,0.634,0.598,0.504,0.539,0.561,0.52,0.544,0.549,0.688,0.736,0.686,0.706,0.476,0.514,0.471
183,5,0,20.6,0.3,0.79,0.53,0.351,0.294,0.377,0.334,0.359,0.335,0.511,0.484,0.493,0.52,0.411,0.396,0.383,0.383,0.408,0.398,0.424,0.584,0.538,0.545,0.556,0.372,0.385,0.387
184,6,1,19.7,0.2,0.74,0.63,0.361,0.373,0.396,0.425,0.365,0.388,0.58,0.592,0.576,0.57,0.489,0.5,0.481,0.491,0.496,0.487,0.482,0.655,0.623,0.666,0.639,0.434,0.434,0.422
185,7,1,22.0,0.8,0.48,0.7,0.449,0.413,0.448,0.454,0.455,0.433,0.679,0.674,0.686,0.665,0.594,0.55,0.564,0.579,0.545,0.547,0.556,0.708,0.745,0.721,0.736,0.488,0.523,0.496
186,1,0,22.3,0.7,0.7,0.87,0.369,0.402,0.36,0.403,0.35,0.39,0.555,0.608,0.577,0.607,0.467,0.458,0.46,0.476,0.495,0.496,0.514,0.633,0.657,0.615,0.617,0.438,0.442,0.433
187,2,0,20.3,0.7,0.62,0.8,0.32,0.301,0.294,0.329,0.265,0.314,0.534,0.487,0.489,0.474,0.378,0.414,0.397,0.424,0.437,0.385,0.397,0.508,0.518,0.528,0.521,0.326,0.342,0.376
188,3,0,20.3,1.6,0.28,0.77,0.255,0.235,0.289,0.268,0.248,0.262,0.394,0.376,0.419,0.409,0.314,0.321,0.354,0.341,0.295,0.348,0.348,0.44,0.447,0.445,0.453,0.289,0.311,0.286
189,4,0,20.5,0.2,0.72,0.75,0.315,0.312,0.319,0.308,0.345,0.332,0.454,0.465,0.458,0.457,0.415,0.384,0.357,0.413,0.408,0.436,0.403,0.554,0.523,0.52,0.53,0.377,0.361,0.358
190,5,0,19.5,1.5,0.19,0.64,0.251,0.265,0.234,0.231,0.259,0.282,0.382,0.364,0.374,0.385,0.33,0.301,0.316,0.317,0.318,0.325,0.328,0.4,0.39,0.414,0.428,0.317,0.302,0.276
191,6,1,17.5,3.7,0.41,0.8,0.299,0.248,0.275,0.299,0.28,0.291,0.391,0.397,0.471,0.411,0.358,0.348,0.356,0.39,0.37,0.373,0.382,0.463,0.446,0.504,0.494,0.301,0.314,0.348
192,7,1,20.3,3.5,0.28,0.81,0.306,0.287,0.323,0.282,0.311,0.269,0.434,0.444,0.46,0.449,0.339,0.364,0.37,0.372,0.368,0.373,0.336,0.447,0.494,0.46,0.481,0.332,0.319,0.338
193,1,0,19.5,0.6,0.28,0.73,0.352,0.351,0.344,0.39,0.369,0.331,0.547,0.551,0.55,0.528,0.459,0.43,0.446,0.451,0.452,0.445,0.467,0.592,0.573,0.578,0.583,0.391,0.411,0.406
194,2,0,22.3,0.1,0.38,0.9,0.403,0.431,0.459,0.446,0.387,0.432,0.637,0.63,0.624,0.612,0.579,0.513,0.524,0.527,0.517,0.509,0.556,0.674,0.641,0.676,0.673,0.5,0.458,0.468
195,3,0,21.0,0.7,0.64,0.82,0.398,0.422,0.379,0.392,0.386,0.417,0.621,0.607,0.618,0.582,0.532,0.499,0.492,0.474,0.517,0.531,0.507,0.669,0.687,0.682,0.676,0.497,0.464,0.429
196,4,0,21.8,0.3,0.92,0.6,0.407,0.412,0.365,0.383,0.392,0.398,0.571,0.61,0.55,0.561,0.478,0.496,0.501,0.524,0.473,0.486,0.466,0.616,0.65,0.663,0.616,0.416,0.427,0.451
197,5,0,15.4,0.2,0.33,0.92,0.282,0.221,0.29,0.243,0.258,0.234,0.383,0.365,0.436,0.398,0.332,0.325,0.308,0.319,0.301,0.304,0.346,0.441,0.395,0.448,0.416,0.323,0.291,0.291
198,6,1,20.6,0.2,0.63,0.89,0.309,0.322,0.33,0.273,0.339,0.285,0.49,0.44,0.473,0.473,0.388,0.402,0.376,0.392,0.411,0.433,0.381,0.53,0.501,0.538,0.504,0.315,0.349,0.364
199,7,1,21.3,0.3,0.24,0.62,0.245,0.224,0.246,0.252,0.245,0.24,0.375,0.356,0.404,0.411,0.301,0.33,0.285,0.332,0.338,0.311,0.317,0.413,0.431,0.425,0.419,0.268,0.298,0.275
200,1,0,18.5,3.3,0.27,0.78,0.366,0.343,0.329,0.354,0.373,0.363,0.53,0.488,0.541,0.483,0.456,0.414,0.427,0.446,0.456,0.414,0.458,0.541,0.556,0.568,0.571,0.374,0.39,0.361
201,2,0,18.9,0.2,0.18,0.65,0.481,0.502,0.455,0.431,0.458,0.498,0.673,0.722,0.701,0.708,0.598,0.584,0.61,0.603,0.574,0.591,0.584,0.764,0.714,0.756,0.761,0.526,0.47,0.557
202,3,0,15.6,0.4,0.66,0.78,0.294,0.298,0.278,0.278,0.326,0.294,0.425,0.497,0.425,0.421,0.352,0.363,0.373,0.34,0.38,0.365,0.376,0.446,0.47,0.432,0.458,0.352,0.352,0.352
203,4,0,22.6,0.5,0.47,0.73,0.299,0.266,0.235,0.245,0.299,0.26,0.419,0.399,0.428,0.419,0.383,0.327,0.31,0.338,0.322,0.329,0.347,0.407,0.442,0.409,0.404,0.305,0.296,0.313
204,5,0,18.0,0.1,0.58,0.61,0.349,0.384,0.395,0.366,0.384,0.343,0.556,0.604,0.565,0.555,0.489,0.484,0.5,0.481,0.507,0.462,0.465,0.628,0.631,0.589,0.637,0.468,0.429,0.417
205,6,1,17.0,0.1,0.05,0.76,0.329,0.312,0.3,0.286,0.287,0.318,0.45,0.467,0.456,0.43,0.359,0.37,0.371,0.328,0.369,0.403,0.389,0.467,0.504,0.487,0.46,0.352,0.366,0.361
206,7,1,19.2,0.5,0.84,0.75,0.443,0.407,0.404,0.396,0.38,0.38,0.615,0.593,0.587,0.592,0.516,0.519,0.503,0.502,0.495,0.457,0.463,0.632,0.649,0.626,0.633,0.447,0.45,0.414
207,1,0,18.4,0.0,0.14,0.87,0.264,0.267,0.271,0.232,0.251,0.266,0.408,0.392,0.372,0.444,0.309,0.322,0.347,0.322,0.348,0.312,0.352,0.437,0.414,0.421,0.44,0.311,0.293,0.305
208,2,0,21.2,0.6,0.38,0.52,0.346,0.307,0.335,0.327,0.344,0.339,0.474,0.48,0.471,0.484,0.41,0.39,0.381,0.402,0.409,0.358,0.389,0.529,0.58,0.517,0.55,0.372,0.372,0.346
209,3,0,16.8,1.3,0.21,0.8,0.376,0.344,0.361,0.343,0.328,0.383,0.509,0.526,0.497,0.532,0.399,0.387,0.449,0.416,0.414,0.418,0.413,0.553,0.547,0.569,0.56,0.384,0.365,0.33
210,4,0,22.0,0.2,0.53,0.84,0.258,0.236,0.256,0.281,0.247,0.248,0.35,0.391,0.369,0.405,0.319,0.319,0.293,0.315,0.291,0.26,0.318,0.402,0.426,0.41,0.382,0.267,0.276,0.329
211,5,0,20.1,0.0,0.33,0.67,0.237,0.273,0.277,0.269,0.298,0.273,0.401,0.435,0.459,0.434,0.386,0.366,0.352,0.35,0.374,0.388,0.348,0.479,0.468,0.497,0.491,0.267,0.321,0.312
212,6,1,22.3,1.0,0.37,0.65,0.314,0.315,0.356,0.358,0.324,0.341,0.529,0.538,0.502,0.515,0.431,0.422,0.446,0.414,0.454,0.453,0.436,0.596,0.589,0.577,0.563,0.369,0.419,0.401
213,7,1,17.4,0.9,0.27,0.6,0.295,0.283,0.337,0.304,0.283,0.292,0.448,0.447,0.429,0.433,0.384,0.38,0.367,0.383,0.4,0.38,0.376,0.506,0.51,0.461,0.525,0.351,0.335,0.335
214,1,0,20.3,1.2,0.55,0.73,0.242,0.212,0.265,0.287,0.288,0.253,0.425,0.386,0.395,0.395,0.341,0.328,0.363,0.327,0.375,0.33,0.282,0.406,0.459,0.421,0.434,0.295,0.298,0.278
215,2,0,18.0,0.2,0.85,0.61,0.449,0.44,0.464,0.437,0.446,0.405,0.666,0.61,0.641,0.671,0.541,0.525,0.6,0.563,0.557,0.553,0.59,0.738,0.732,0.76,0.69,0.495,0.493,0.541
216,3,0,13.8,0.8,0.14,0.87,0.367,0.353,0.351,0.376,0.311,0.385,0.512,0.509,0.525,0.514,0.436,0.414,0.428,0.436,0.434,0.395,0.401,0.553,0.586,0.568,0.58,0.409,0.394,0.408
217,4,0,18.9,0.3,0.36,0.63,0.468,0.466,0.454,0.45,0.46,0.473,0.668,0.711,0.686,0.68,0.579,0.566,0.575,0.566,0.522,0.603,0.546,0.768,0.759,0.779,0.753,0.509,0.52,0.568
218,5,0,16.9,0.7,0.65,0.59,0.415,0.423,0.449,0.442,0.426,0.436,0.646,0.613,0.606,0.636,0.562,0.56,0.543,0.52,0.58,0.518,0.494,0.677,0.692,0.677,0.737,0.472,0.508,0.502
219,6,1,18.3,0.8,0.66,0.63,0.327,0.32,0.312,0.334,0.351,0.331,0.522,0.517,0.465,0.482,0.389,0.382,0.411,0.418,0.399,0.41,0.377,0.538,0.489,0.468,0.549,0.373,0.338,0.373
220,7,1,17.8,0.3,0.81,0.66,0.349,0.327,0.339,0.325,0.313,0.381,0.544,0.497,0.536,0.493,0.458,0.421,0.396,0.409,0.408,0.405,0.405,0.544,0.54,0.553,0.58,0.362,0.381,0.375
221,1,0,21.3,5.6,0.61,0.59,0.478,0.489,0.484,0.437,0.456,0.466,0.755,0.707,0.691,0.715,0.591,0.607,0.573,0.607,0.577,0.559,0.6,0.768,0.777,0.812,0.753,0.553,0.534,0.542
222,2,0,15.7,0.6,0.77,0.52,0.338,0.346,0.309,0.374,0.374,0.335,0.543,0.541,0.489,0.506,0.426,0.487,0.448,0.421,0.405,0.437,0.473,0.595,0.562,0.575,0.567,0.411,0.382,0.417
223,3,0,15.7,0.2,0.66,0.64,0.359,0.347,0.321,0.368,0.393,0.362,0.55,0.526,0.494,0.529,0.408,0.442,0.442,0.449,0.438,0.406,0.431,0.548,0.561,0.59,0.59,0.419,0.394,0.429
224,4,0,18.6,1.2,0.48,0.71,0.231,0.226,0.26,0.297,0.242,0.269,0.376,0.356,0.373,0.38,0.346,0.305,0.339,0.308,0.338,0.352,0.294,0.39,0.425,0.439,0.421,0.243,0.265,0.31
225,5,0,19.0,0.4,0.67,0.7,0.388,0.37,0.384,0.433,0.429,0.427,0.6,0.591,0.606,0.614,0.475,0.496,0.52,0.502,0.48,0.511,0.512,0.651,0.654,0.65,0.655,0.432,0.426,0.474
226,6,1,17.3,0.5,0.59,0.61,0.33,0.359,0.321,0.345,0.358,0.345,0.489,0.5,0.511,0.533,0.432,0.391,0.412,0.421,0.453,0.417,0.388,0.543,0.551,0.538,0.527,0.382,0.391,0.371
227,7,1,16.6,0.3,0.39,0.79,0.271,0.24,0.296,0.236,0.235,0.251,0.398,0.392,0.399,0.377,0.339,0.329,0.327,0.34,0.337,0.306,0.3,0.369,0.409,0.398,0.397,0.298,0.269,0.305
228,1,0,18.2,0.3,0.7,0.61,0.397,0.371,0.458,0.449,0.481,0.463,0.687,0.642,0.673,0.632,0.55,0.522,0.533,0.551,0.51,0.57,0.552,0.738,0.697,0.706,0.7,0.485,0.485,0.465
229,2,0,19.0,0.4,0.28,0.64,0.255,0.312,0.301,0.242,0.288,0.266,0.439,0.43,0.418,0.386,0.321,0.295,0.347,0.325,0.35,0.325,0.374,0.419,0.434,0.481,0.462,0.307,0.325,0.291
230,3,0,15.1,2.2,0.2,0.66,0.412,0.442,0.431,0.364,0.472,0.438,0.668,0.646,0.666,0.618,0.522,0.559,0.521,0.54,0.49,0.543,0.549,0.686,0.732,0.69,0.691,0.49,0.473,0.471
231,4,0,16.6,0.0,0.51,0.55,0.402,0.403,0.406,0.457,0.405,0.417,0.637,0.635,0.609,0.622,0.532,0.508,0.507,0.515,0.523,0.514,0.521,0.698,0.658,0.709,0.674,0.494,0.466,0.446
232,5,0,15.8,1.5,0.07,0.79,0.418,0.406,0.452,0.425,0.419,0.434,0.647,0.654,0.643,0.635,0.529,0.526,0.558,0.514,0.557,0.528,0.516,0.672,0.689,0.695,0.689,0.472,0.489,0.453
233,6,1,17.6,0.1,0.39,0.56,0.487,0.481,0.488,0.481,0.46,0.461,0.711,0.718,0.717,0.726,0.565,0.616,0.588,0.625,0.557,0.546,0.573,0.749,0.755,0.779,0.787,0.56,0.53,0.535
